cifra,valor,tipo,base,clave,fuente,fecha,texto,modulo
bib.entradas,24029,n,v3,C,suma de entradas de las bibliotecas (no son filas distintas),2026-09-23,24.029,base
bib.estatuto.entradas,307,n,v3,C,items de L2-B5,2026-09-23,307,sesiones
bib.estatuto.nombre,Debate · Estatuto de Cataluña,texto,v3,M,L2-B5 › collection.name,2026-09-23,Debate · Estatuto de Cataluña,sesiones
bib.estatuto.sesiones,6,n,v3,C,"sesiones (date, num_session) de sus items",2026-09-23,6,sesiones
bib.exilio.entradas,211,n,v3,C,items de L2-B16,2026-09-23,211,sesiones
bib.exilio.nombre,Debate · Las Cortes en el exilio,texto,v3,M,L2-B16 › collection.name,2026-09-23,Debate · Las Cortes en el exilio,sesiones
bib.exilio.sesiones,5,n,v3,C,"sesiones (date, num_session) de sus items",2026-09-23,5,sesiones
bib.guerra.entradas,280,n,v3,C,items de L2-B15,2026-09-23,280,sesiones
bib.guerra.nombre,Debate · Las Cortes en guerra,texto,v3,M,L2-B15 › collection.name,2026-09-23,Debate · Las Cortes en guerra,sesiones
bib.guerra.sesiones,9,n,v3,C,"sesiones (date, num_session) de sus items",2026-09-23,9,sesiones
bib.n,31,n,v3,C,bibliotecas del proyecto (.2replib) que ofrece el explorador,2026-09-23,31,base
bib.orden_publico.entradas,604,n,v3,C,items de L2-B14,2026-09-23,604,sesiones
bib.orden_publico.nombre,Debate · Orden público en la primavera de 1936,texto,v3,M,L2-B14 › collection.name,2026-09-23,Debate · Orden público en la primavera de 1936,sesiones
bib.orden_publico.sesiones,5,n,v3,C,"sesiones (date, num_session) de sus items",2026-09-23,5,sesiones
bib.religiosa.entradas,486,n,v3,C,items de L2-B3,2026-09-23,486,sesiones
bib.religiosa.nombre,Debate · Cuestión religiosa (art. 26),texto,v3,M,L2-B3 › collection.name,2026-09-23,Debate · Cuestión religiosa (art. 26),sesiones
bib.religiosa.sesiones,4,n,v3,C,"sesiones (date, num_session) de sus items",2026-09-23,4,sesiones
bib.sufragio.entradas,770,n,v3,C,items de L2-B2,2026-09-23,770,sesiones
bib.sufragio.n,770,n,v3,C,entradas de «Debate · Sufragio femenino» (L2-B2),2026-09-23,770,explorador
bib.sufragio.nombre,Debate · Sufragio femenino,texto,v3,M,L2-B2 › collection.name,2026-09-23,Debate · Sufragio femenino,sesiones
bib.sufragio.sesiones,2,n,v3,C,"sesiones (date, num_session) de sus items",2026-09-23,2,sesiones
biblioteca.amnistia.entradas,1085,n,v3,M,entradas de la biblioteca «Debate · Amnistía de 1934»,2026-09-23,1.085,cortes
biblioteca.amnistia.sesiones,6,n,v3,M,sesiones de la biblioteca «Debate · Amnistía de 1934»,2026-09-23,6,cortes
biblioteca.casas_viejas.sesiones,9,n,v3,M,sesiones de la biblioteca «Debate · Casas Viejas»,2026-09-23,9,cortes
biblioteca.sufragio.entradas,770,n,v3,M,entradas de la biblioteca «Debate · Sufragio femenino»,2026-09-23,770,cortes
busqueda.amnistia.1933-1935,351,n,v3,C,"FTS5 del explorador (speeches_fts MATCH amnistia), «amnistía» con la faceta Legislatura 1933-1935, todas las filas",2026-09-23,351,cortes
busqueda.casas_viejas.habla,316,n,v3,C,"lo mismo con s.speaker NOT IN ('SUMARIO','COMENTARIOS') («Solo lo que se habla»)",2026-09-23,316,explorador
busqueda.casas_viejas.m1933_02,114,n,v3,C,«casas viejas» en febrero de 1933 (la nota de Tendencia de la captura),2026-09-23,114,explorador
busqueda.casas_viejas.m1933_02_habla,102,n,v3,C,lo mismo con «Solo lo que se habla»,2026-09-23,102,explorador
busqueda.casas_viejas.n,375,n,v3,C,"FTS5 de la v3: count(*) WHERE speeches_fts MATCH '""casas viejas""'",2026-09-23,375,explorador
busqueda.casas_viejas.primera,1933-02-01,fecha,v3,CALC,min(date) de «casas viejas»,2026-09-23,1 de febrero de 1933,explorador
busqueda.catolica.habla,6,n,v3,C,"lo mismo con s.speaker NOT IN ('SUMARIO','COMENTARIOS') («Solo lo que se habla»)",2026-09-23,6,explorador
busqueda.catolica.n,6,n,v3,C,"FTS5 de la v3: count(*) WHERE speeches_fts MATCH '""España ha dejado de ser católica""'",2026-09-23,6,explorador
busqueda.catolica.puesto_azana,4,n,v3,C,"posición de la fila v3 7531 (Azaña, 13-X-1931) con ORDER BY bm25(speeches_fts), el orden «Relevancia»",2026-09-23,4,explorador
busqueda.divorcio.1931-1933,485,n,v3,C,"FTS5 del explorador (speeches_fts MATCH divorcio), «divorcio» con la faceta Legislatura 1931-1933, todas las filas",2026-09-23,485,cortes
busqueda.divorcio.habla,454,n,v3,C,"lo mismo con s.speaker NOT IN ('SUMARIO','COMENTARIOS') («Solo lo que se habla»)",2026-09-23,454,explorador
busqueda.divorcio.n,531,n,v3,C,FTS5 de la v3: count(*) WHERE speeches_fts MATCH 'divorcio',2026-09-23,531,explorador
busqueda.estatuto.habla,493,n,v3,C,"lo mismo con s.speaker NOT IN ('SUMARIO','COMENTARIOS') («Solo lo que se habla»)",2026-09-23,493,explorador
busqueda.estatuto.n,724,n,v3,C,"FTS5 de la v3: count(*) WHERE speeches_fts MATCH '""estatuto de cataluña""'",2026-09-23,724,explorador
busqueda.reforma_agraria.habla,1629,n,v3,C,"lo mismo con s.speaker NOT IN ('SUMARIO','COMENTARIOS') («Solo lo que se habla»)",2026-09-23,1.629,explorador
busqueda.reforma_agraria.n,2028,n,v3,C,"FTS5 de la v3: count(*) WHERE speeches_fts MATCH '""reforma agraria""'",2026-09-23,2.028,explorador
busqueda.reforma_agraria_y.n,2125,n,v3,C,"FTS5: 'reforma agraria' (las dos palabras, sin comillas)",2026-09-23,2.125,explorador
busqueda.ses.barriga.n,2,n,v3,C,"FTS5 MATCH '""tiros a la barriga""'  sobre speeches_fts, como el explorador; todo el corpus",2026-09-23,2,sesiones
busqueda.ses.casas_viejas.m1933_03,126,n,v3,C,"FTS5 MATCH '""casas viejas""' {'desde': '1933-03-01', 'hasta': '1933-03-31'} sobre speeches_fts, como el explorador; marzo de 1933, todas las filas",2026-09-23,126,sesiones
busqueda.ses.casas_viejas.m1933_03_habla,108,n,v3,C,"FTS5 MATCH '""casas viejas""' {'desde': '1933-03-01', 'hasta': '1933-03-31', 'habla': True} sobre speeches_fts, como el explorador; marzo de 1933, «Solo lo que se habla»",2026-09-23,108,sesiones
busqueda.ses.otra_manera.n,2,n,v3,C,"FTS5 MATCH '""vivir de otra manera""'  sobre speeches_fts, como el explorador; consulta: ""vivir de otra manera""",2026-09-23,2,sesiones
busqueda.ses.pistola.dia,3,n,v3,C,"FTS5 MATCH '""pistola""' {'desde': '1934-07-04', 'hasta': '1934-07-04'} sobre speeches_fts, como el explorador; Desde y Hasta 04/07/1934",2026-09-23,3,sesiones
busqueda.ses.pistola.n,164,n,v3,C,"FTS5 MATCH '""pistola""'  sobre speeches_fts, como el explorador; todo el corpus",2026-09-23,164,sesiones
busqueda.ses.presidente_interino.n,6,n,v3,C,"FTS5 MATCH '""presidente interino de la republica""' {'desde': '1945-01-01'} sobre speeches_fts, como el explorador; Desde 01/01/1945",2026-09-23,6,sesiones
busqueda.ses.suprimidas.n,5,n,v3,C,"FTS5 MATCH '""no constan por orden"" OR ""no se consigna por orden"" OR ""no se consignan por orden""'  sobre speeches_fts, como el explorador; acotaciones de palabras suprimidas por la Presidencia",2026-09-23,5,sesiones
busqueda.ses.suprimidas.puerta,3,n,v3,C,"de esas filas, las del 16-VI y el 1-VII-1936",2026-09-23,3,sesiones
busqueda.ses.tenia_que_ocurrir.n,2,n,v3,C,"FTS5 MATCH '""no ha ocurrido sino lo que tenia que ocurrir""'  sobre speeches_fts, como el explorador; consulta: la frase de Azaña",2026-09-23,2,sesiones
busqueda.ses.tierra_catalana.habla,0,n,v3,C,"FTS5 MATCH '""trozo de la tierra catalana""' {'habla': True} sobre speeches_fts, como el explorador; con «Solo lo que se habla»",2026-09-23,0,sesiones
busqueda.ses.tierra_catalana.n,1,n,v3,C,"FTS5 MATCH '""trozo de la tierra catalana""'  sobre speeches_fts, como el explorador; todo el corpus, todas las filas",2026-09-23,1,sesiones
busqueda.ses.voto_union.campoamor,6,n,v3,C,"de las filas de la consulta ""voto femenino"" | ""voto de la mujer"", las de rep_name Clara Campoamor",2026-09-23,6,sesiones
busqueda.ses.voto_union.fechas,15,n,v3,C,fechas distintas de esas filas,2026-09-23,15,sesiones
busqueda.straperlo.1935,11,n,v3,C,"FTS5 del explorador (speeches_fts MATCH straperlo), «straperlo», del 1-X al 31-XII-1935, todas las filas",2026-09-23,11,cortes
busqueda.strauss.1935,32,n,v3,C,"FTS5 del explorador (speeches_fts MATCH strauss), «strauss», del 1-X al 31-XII-1935, todas las filas",2026-09-23,32,cortes
busqueda.voto_ambas.n,8,n,v3,C,"FTS5: '""voto femenino"" AND ""voto de la mujer""'",2026-09-23,8,explorador
busqueda.voto_femenino.habla,20,n,v3,C,"lo mismo con s.speaker NOT IN ('SUMARIO','COMENTARIOS') («Solo lo que se habla»)",2026-09-23,20,explorador
busqueda.voto_femenino.n,20,n,v3,C,"FTS5 de la v3: count(*) WHERE speeches_fts MATCH '""voto femenino""'",2026-09-23,20,explorador
busqueda.voto_mujer.habla,28,n,v3,C,"lo mismo con s.speaker NOT IN ('SUMARIO','COMENTARIOS') («Solo lo que se habla»)",2026-09-23,28,explorador
busqueda.voto_mujer.n,28,n,v3,C,"FTS5 de la v3: count(*) WHERE speeches_fts MATCH '""voto de la mujer""'",2026-09-23,28,explorador
busqueda.voto_union.desde,1931-09-01,fecha,v3,CALC,min(date) de la unión,2026-09-23,1 de septiembre de 1931,explorador
busqueda.voto_union.habla,40,n,v3,C,"lo mismo con s.speaker NOT IN ('SUMARIO','COMENTARIOS') («Solo lo que se habla»)",2026-09-23,40,explorador
busqueda.voto_union.hasta,1933-12-15,fecha,v3,CALC,max(date) de la unión,2026-09-23,15 de diciembre de 1933,explorador
busqueda.voto_union.n,40,n,v3,C,"FTS5 de la v3: count(*) WHERE speeches_fts MATCH '""voto femenino"" OR ""voto de la mujer""'",2026-09-23,40,explorador
busquedas.fecha,2026-09-22,fecha,v3,CALC,"día en que los recuentos se comprobaron en la pantalla del explorador, sobre la v3 3a0d8b2d (se recalculan en cada exportación)",2026-09-23,22 de septiembre de 2026,explorador
cita.antesala.calvo.V2,105356,id,V2,L,"fila V2 donde está, letra a letra, la cita antesala.calvo (citas.md)",2026-09-23,105356,sesiones
cita.antesala.calvo.palabras,1718,n,V2,C,nwords de la fila V2 105356,2026-09-23,1.718,sesiones
cita.antesala.calvo.suprimidas.V2,105310,id,V2,L,"fila V2 donde está, letra a letra, la cita antesala.calvo.suprimidas (citas.md)",2026-09-23,105310,sesiones
cita.antesala.calvo.suprimidas.palabras,240,n,V2,C,nwords de la fila V2 105310,2026-09-23,240,sesiones
cita.antesala.calvo.suprimidas.v3,119084,id,v3,L,"fila v3 donde está, letra a letra, la cita antesala.calvo.suprimidas (citas.md)",2026-09-23,119084,sesiones
cita.antesala.calvo.v3,119131,id,v3,L,"fila v3 donde está, letra a letra, la cita antesala.calvo (citas.md)",2026-09-23,119131,sesiones
cita.antesala.carrillo.suprimidas.V2,105324,id,V2,L,"fila V2 donde está, letra a letra, la cita antesala.carrillo.suprimidas (citas.md)",2026-09-23,105324,sesiones
cita.antesala.carrillo.suprimidas.palabras,25,n,V2,C,nwords de la fila V2 105324,2026-09-23,25,sesiones
cita.antesala.carrillo.suprimidas.v3,119098,id,v3,L,"fila v3 donde está, letra a letra, la cita antesala.carrillo.suprimidas (citas.md)",2026-09-23,119098,sesiones
cita.antesala.casares.V2,105330,id,V2,L,"fila V2 donde está, letra a letra, la cita antesala.casares (citas.md)",2026-09-23,105330,sesiones
cita.antesala.casares.palabras,2783,n,V2,C,nwords de la fila V2 105330,2026-09-23,2.783,sesiones
cita.antesala.casares.v3,119104,id,v3,L,"fila v3 donde está, letra a letra, la cita antesala.casares (citas.md)",2026-09-23,119104,sesiones
cita.antesala.galarza.V2,106289,id,V2,L,"fila V2 donde está, letra a letra, la cita antesala.galarza (citas.md)",2026-09-23,106289,sesiones
cita.antesala.galarza.palabras,3666,n,V2,C,nwords de la fila V2 106289,2026-09-23,3.666,sesiones
cita.antesala.galarza.v3,120221,id,v3,L,"fila v3 donde está, letra a letra, la cita antesala.galarza (citas.md)",2026-09-23,120221,sesiones
cita.antesala.galarza2.V2,106291,id,V2,L,"fila V2 donde está, letra a letra, la cita antesala.galarza2 (citas.md)",2026-09-23,106291,sesiones
cita.antesala.galarza2.palabras,56,n,V2,C,nwords de la fila V2 106291,2026-09-23,56,sesiones
cita.antesala.galarza2.v3,120223,id,v3,L,"fila v3 donde está, letra a letra, la cita antesala.galarza2 (citas.md)",2026-09-23,120223,sesiones
cita.antesala.presidencia.V2,106290,id,V2,L,"fila V2 donde está, letra a letra, la cita antesala.presidencia (citas.md)",2026-09-23,106290,sesiones
cita.antesala.presidencia.palabras,55,n,V2,C,nwords de la fila V2 106290,2026-09-23,55,sesiones
cita.antesala.presidencia.v3,120222,id,v3,L,"fila v3 donde está, letra a letra, la cita antesala.presidencia (citas.md)",2026-09-23,120222,sesiones
cita.casasviejas.azana.V2,44922,id,V2,L,"fila V2 donde está, letra a letra, la cita casasviejas.azana (citas.md)",2026-09-23,44922,sesiones
cita.casasviejas.azana.hurgue.V2,44922,id,V2,L,"fila V2 donde está, letra a letra, la cita casasviejas.azana.hurgue (citas.md)",2026-09-23,44922,sesiones
cita.casasviejas.azana.hurgue.palabras,528,n,V2,C,nwords de la fila V2 44922,2026-09-23,528,sesiones
cita.casasviejas.azana.hurgue.v3,50255,id,v3,L,"fila v3 donde está, letra a letra, la cita casasviejas.azana.hurgue (citas.md)",2026-09-23,50255,sesiones
cita.casasviejas.azana.palabras,528,n,V2,C,nwords de la fila V2 44922,2026-09-23,528,sesiones
cita.casasviejas.azana.v3,50255,id,v3,L,"fila v3 donde está, letra a letra, la cita casasviejas.azana (citas.md)",2026-09-23,50255,sesiones
cita.casasviejas.barriga.V2,70714,id,V2,L,"fila V2 donde está, letra a letra, la cita casasviejas.barriga (citas.md)",2026-09-23,70714,sesiones
cita.casasviejas.barriga.palabras,1586,n,V2,C,nwords de la fila V2 70714,2026-09-23,1.586,sesiones
cita.casasviejas.barriga.v3,79606,id,v3,L,"fila v3 donde está, letra a letra, la cita casasviejas.barriga (citas.md)",2026-09-23,79606,sesiones
cita.casasviejas.martinezbarrio.V2,46426,id,V2,L,"fila V2 donde está, letra a letra, la cita casasviejas.martinezbarrio (citas.md)",2026-09-23,46426,sesiones
cita.casasviejas.martinezbarrio.palabras,2028,n,V2,C,nwords de la fila V2 46426,2026-09-23,2.028,sesiones
cita.casasviejas.martinezbarrio.v3,51919,id,v3,L,"fila v3 donde está, letra a letra, la cita casasviejas.martinezbarrio (citas.md)",2026-09-23,51919,sesiones
cita.diario.alba.reglamento.V2,71331,id,V2,L,"fila V2 donde está, letra a letra, la cita diario.alba.reglamento (citas.md)",2026-09-23,71331,diario
cita.diario.alba.reglamento.v3,80307,id,v3,L,"fila v3 donde está, letra a letra, la cita diario.alba.reglamento (citas.md)",2026-09-23,80307,diario
cita.diario.alba.secreta.V2,71329,id,V2,L,"fila V2 donde está, letra a letra, la cita diario.alba.secreta (citas.md)",2026-09-23,71329,diario
cita.diario.alba.secreta.v3,80305,id,v3,L,"fila v3 donde está, letra a letra, la cita diario.alba.secreta (citas.md)",2026-09-23,80305,diario
cita.diario.besteiro.consten.V2,45115,id,V2,L,"fila V2 donde está, letra a letra, la cita diario.besteiro.consten (citas.md)",2026-09-23,45115,diario
cita.diario.besteiro.consten.v3,50466,id,v3,L,"fila v3 donde está, letra a letra, la cita diario.besteiro.consten (citas.md)",2026-09-23,50466,diario
cita.diario.calvo.peticion.V2,104406,id,V2,L,"fila V2 donde está, letra a letra, la cita diario.calvo.peticion (citas.md)",2026-09-23,104406,diario
cita.diario.calvo.peticion.v3,118058,id,v3,L,"fila v3 donde está, letra a letra, la cita diario.calvo.peticion (citas.md)",2026-09-23,118058,diario
cita.diario.campoamor.lee.V2,5424,id,V2,L,"fila V2 donde está, letra a letra, la cita diario.campoamor.lee (citas.md)",2026-09-23,5424,diario
cita.diario.campoamor.lee.v3,6079,id,v3,L,"fila v3 donde está, letra a letra, la cita diario.campoamor.lee (citas.md)",2026-09-23,6079,diario
cita.diario.cano.tachado.V2,82129,id,V2,L,"fila V2 donde está, letra a letra, la cita diario.cano.tachado (citas.md)",2026-09-23,82129,diario
cita.diario.cano.tachado.v3,92599,id,v3,L,"fila v3 donde está, letra a letra, la cita diario.cano.tachado (citas.md)",2026-09-23,92599,diario
cita.diario.eso_no_basta.V2,102492,id,V2,L,"fila V2 donde está, letra a letra, la cita diario.eso_no_basta (citas.md)",2026-09-23,102492,diario
cita.diario.eso_no_basta.v3,115837,id,v3,L,"fila v3 donde está, letra a letra, la cita diario.eso_no_basta (citas.md)",2026-09-23,115837,diario
cita.diario.grito.V2,71330,id,V2,L,"fila V2 donde está, letra a letra, la cita diario.grito (citas.md)",2026-09-23,71330,diario
cita.diario.grito.palabras,3,n,V2,C,nwords de la fila V2 71330,2026-09-23,3,diario
cita.diario.grito.v3,80306,id,v3,L,"fila v3 donde está, letra a letra, la cita diario.grito (citas.md)",2026-09-23,80306,diario
cita.diario.kent.interrupcion.V2,5419,id,V2,L,"fila V2 donde está, letra a letra, la cita diario.kent.interrupcion (citas.md)",2026-09-23,5419,diario
cita.diario.kent.interrupcion.v3,6074,id,v3,L,"fila v3 donde está, letra a letra, la cita diario.kent.interrupcion (citas.md)",2026-09-23,6074,diario
cita.diario.maura.censura.V2,82369,id,V2,L,"fila V2 donde está, letra a letra, la cita diario.maura.censura (citas.md)",2026-09-23,82369,diario
cita.diario.maura.censura.v3,92880,id,v3,L,"fila v3 donde está, letra a letra, la cita diario.maura.censura (citas.md)",2026-09-23,92880,diario
cita.diario.maurin.V2,106747,id,V2,L,"fila V2 donde está, letra a letra, la cita diario.maurin (citas.md)",2026-09-23,106747,diario
cita.diario.maurin.v3,120751,id,v3,L,"fila v3 donde está, letra a letra, la cita diario.maurin (citas.md)",2026-09-23,120751,diario
cita.diario.nota.liberacion.v3,121110,id,v3,L,"fila v3 donde está, letra a letra, la cita diario.nota.liberacion (citas.md)",2026-09-23,121110,diario
cita.diario.nota.volumen.v3,121110,id,v3,L,"fila v3 donde está, letra a letra, la cita diario.nota.volumen (citas.md)",2026-09-23,121110,diario
cita.diario.perciben.y.constan.V2,103250,id,V2,L,"fila V2 donde está, letra a letra, la cita diario.perciben.y.constan (citas.md)",2026-09-23,103250,diario
cita.diario.perciben.y.constan.v3,116697,id,v3,L,"fila v3 donde está, letra a letra, la cita diario.perciben.y.constan (citas.md)",2026-09-23,116697,diario
cita.diario.prieto.consten.V2,45116,id,V2,L,"fila V2 donde está, letra a letra, la cita diario.prieto.consten (citas.md)",2026-09-23,45116,diario
cita.diario.prieto.consten.v3,50467,id,v3,L,"fila v3 donde está, letra a letra, la cita diario.prieto.consten (citas.md)",2026-09-23,50467,diario
cita.diario.prieto.publica.V2,71332,id,V2,L,"fila V2 donde está, letra a letra, la cita diario.prieto.publica (citas.md)",2026-09-23,71332,diario
cita.diario.prieto.publica.v3,80308,id,v3,L,"fila v3 donde está, letra a letra, la cita diario.prieto.publica (citas.md)",2026-09-23,80308,diario
cita.diario.royo.V2,57506,id,V2,L,"fila V2 donde está, letra a letra, la cita diario.royo (citas.md)",2026-09-23,57506,diario
cita.diario.royo.v3,64595,id,v3,L,"fila v3 donde está, letra a letra, la cita diario.royo (citas.md)",2026-09-23,64595,diario
cita.diario.sainz.V2,77318,id,V2,L,"fila V2 donde está, letra a letra, la cita diario.sainz (citas.md)",2026-09-23,77318,diario
cita.diario.sainz.v3,87096,id,v3,L,"fila v3 donde está, letra a letra, la cita diario.sainz (citas.md)",2026-09-23,87096,diario
cita.estatuto.azana.V2,25979,id,V2,L,"fila V2 donde está, letra a letra, la cita estatuto.azana (citas.md)",2026-09-23,25979,sesiones
cita.estatuto.azana.palabras,17152,n,V2,C,nwords de la fila V2 25979,2026-09-23,17.152,sesiones
cita.estatuto.azana.v3,29042,id,v3,L,"fila v3 donde está, letra a letra, la cita estatuto.azana (citas.md)",2026-09-23,29042,sesiones
cita.estatuto.v2.palabra.V2,25979,id,V2,L,"fila V2 donde está, letra a letra, la cita estatuto.v2.palabra (citas.md)",2026-09-23,25979,sesiones
cita.estatuto.v2.palabra.palabras,17152,n,V2,C,nwords de la fila V2 25979,2026-09-23,17.152,sesiones
cita.estatuto.v2.palabra.v3,29041,id,v3,L,"fila v3 donde está, letra a letra, la cita estatuto.v2.palabra (citas.md)",2026-09-23,29041,sesiones
